,0
0,0.9329402872260015
1,0.5876288659793815
2,0.6979591836734694
3,0.6380597014925373
4,0.2587615262794861
5,0.9471364614221758
6,0.5917721518987342
7,0.763265306122449
8,0.6666666666666667
9,0.2689042807975283
10,0.9763660677946393
11,0.8391304347826087
12,0.7877551020408163
13,0.8126315789473685
14,0.3570090134234219
